Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
April,35,Teacher,21454.72,16568933333333300,3,4,5,3,26,10,10.36,3.0,Standard,990.57,24736886010048000,NA,Yes,3969936005071090,5724826122244270,High_spent_Medium_value_payments,3187420000000000,Standard
May,35,Teacher,21454.72,16568933333333300,3,4,5,3,26,10,10.36,3.0,_,990.57,34007860976929200,30 Years and 3 Months,Yes,3969936005071090,10339176886872300,Low_spent_Small_value_payments,3125980000000000,Standard
June,35,Teacher,21454.72,16568933333333300,3,4,5,3,27,10,10.36,3.0,Standard,990.57,30836427212489200,30 Years and 4 Months,Yes,3969936005071090,6830191880513140,Low_spent_Small_value_payments,34768800000000000,Standard
July,36,Teacher,21454.72,16568933333333300,3,4,5,3,26,10,10.36,,Standard,990.57,25253916604428300,30 Years and 5 Months,Yes,3969936005071090,18291528744536600,Low_spent_Small_value_payments,233074685837256,Standard
August,36,Teacher,21454.72,16568933333333300,3,4,5,3,26,10,10.36,3.0,_,990.57,3865167360624580,30 Years and 6 Months,Yes,70242.0,44408462896165000,Low_spent_Large_value_payments,35158200000000000,Standard
January,14,Teacher,52243.64,,8,6,11,1,20,11,11.61,5.0,Standard,1336.5,340464551793485,21 Years and 7 Months,Yes,33631453055367800,3722291643318390,Low_spent_Medium_value_payments,3163030000000000,Standard
February,14,Teacher,52243.64,4421636666666660,8,6,11,1,18,11,11.61,5.0,_,1336.5,3341666311345650,21 Years and 8 Months,NM,33631453055367800,12285435357138100,!@9#%8,5356780000000000,Standard
March,14,Teacher,52243.64,4421636666666660,8,6,11,1,15,11,11.61,5.0,_,1336.5,3801675926347830,21 Years and 9 Months,Yes,33631453055367800,11361981058141300,High_spent_Large_value_payments,5349120000000000,Standard
April,14,Teacher,52243.64,4421636666666660,8,6,11,1,15,13,11.61,5.0,Standard,1336.5,3978563165688540,21 Years and 10 Months,Yes,33631453055367800,42988722716450200,High_spent_Large_value_payments,6055430000000000,Standard
May,14,Teacher,52243.64,4421636666666660,8,6,11,1_,15,11,13.61,5.0,Standard,1336.5,27018877360450900,21 Years and 11 Months,NM,33631453055367800,__10000__,Low_spent_Large_value_payments,504423721939163,Standard
June,14,Teacher,52243.64,4421636666666660,8,6,11,1,15,11,11.61,8.0,Standard,1336.5,3077070255563770,22 Years and 0 Months,NM,71799.0,14597731886102400,High_spent_Medium_value_payments,5125550000000000,Standard
July,14,Teacher,52243.64,,8,6,11,1,11,13,15.61,8.0,Standard,1336.5,3820899899108530,22 Years and 1 Months,Yes,33631453055367800,6076591082806870,High_spent_Medium_value_payments,59776630278323,Standard
August,14,Teacher,52243.64,4421636666666660,8,6,11,1,15,9,13.61,8.0,_,1336.5,4122081383402260,22 Years and 2 Months,Yes,33631453055367800,7577868079536500,High_spent_Medium_value_payments,5827540000000000,Standard
January,48,Entrepreneur,123299.12,,2,2,8,3,12,1,7.26,2.0,_,845.47,34694021663674400,19 Years and 3 Months,No,2894723048639320,191909096182046,High_spent_Large_value_payments,7796110000000000,Good
February,48,Entrepreneur,123299.12,10209926666666600,2,2,8,3_,12,-2,7.26,2.0,Good,845.47,3606668226628830,19 Years and 4 Months,No,2894723048639320,13946002767234000,High_spent_Large_value_payments,832060334130393,Standard
March,48,Entrepreneur,123299.12,10209926666666600,2,2,8,3,12,1,11.26,2.0,Good,845.47,4390296255233810,19 Years and 5 Months,No,2894723048639320,15885119475367000,High_spent_Large_value_payments,8126690000000000,Good
April,49,Entrepreneur,123299.12,10209926666666600,2,2,8,3,12,,7.26,2.0,Good,845.47,29254513013785200,NA,NM,2894723048639320,1192673583386820,High_spent_Medium_value_payments,8622530000000000,Standard
May,49,Entrepreneur,123299.12,10209926666666600,2,2,8,3,14,1_,7.26,2.0,Good,845.47,38500782284110500,19 Years and 7 Months,No,2894723048639320,7278301156341460,Low_spent_Large_value_payments,2736900000000000,Standard
June,49,Entrepreneur,123299.12,10209926666666600,2,2,8,3,12,1,3.26,7.0,_,845.47,3738781774322690,19 Years and 8 Months,No,2894723048639320,1387103776876260,High_spent_Large_value_payments,8328100000000000,Good
July,49,nan,123299.12,10209926666666600,2,2,8,3_,12,1,7.26,7.0,Good,845.47,36704963941773800,19 Years and 9 Months,No,2894723048639320,12265533316662900,High_spent_Large_value_payments,8488650000000000,Good
August,49,Entrepreneur,123299.12,,2,2,8,-100,10,2,_,7.0,Good,845.47,3232212419504310,NA,No,2894723048639320,,High_spent_Large_value_payments,8513330000000000,Good
January,34,Architect,22375.64,20396366666666600,6,5,20,-100,27,,12.4,0.0,Standard,182.26,3511318295850770,31 Years and 7 Months,Yes,4522591113491490,11432903618212000,High_spent_Small_value_payments,3044090000000000,Standard
February,34,Architect,22375.64,20396366666666600,6,5,20,3,22,7,5.4,0.0,Standard,182.26,3207243897617220,31 Years and 8 Months,Yes,4522591113491490,30676991210756000,High_spent_Medium_value_payments,37806100000000000,Standard
March,34,Architect,22375.64,20396366666666600,6,5,20,3,22,12,5.4,0.0,_,182.26,3648033896143020,31 Years and 9 Months,Yes,4522591113491490,9036220514019120,Low_spent_Medium_value_payments,34837600000000000,Standard
April,34,Architect,22375.64,20396366666666600,6,5,20,3,22,11,5.4,0.0,Standard,182.26,3543018529575570,31 Years and 10 Months,Yes,4522591113491490,1404795506724480,Low_spent_Large_value_payments,28825800000000000,Standard
May,287,Architect,22375.64,20396366666666600,6,5,20,3,22,9,5.4,,Standard,182.26,3490946233180160,31 Years and 11 Months,NM,4522591113491490,,High_spent_Medium_value_payments,35567300000000000,Standard
June,34,Architect,22375.64,20396366666666600,6,5,20,3,22,7,5.4,0.0,Standard,182.26,3180444647370390,32 Years and 0 Months,Yes,4522591113491490,18658964422402000,Low_spent_Small_value_payments,2621480000000000,Standard
July,34,Architect,22375.64,20396366666666600,6,5,20,3,22,13,10.4,0.0,Standard,182.26,31044072167116300,NA,Yes,4522591113491490,3784357739522530,High_spent_Large_value_payments,36089400000000000,Standard
August,34,Architect,22375.64,20396366666666600,1628,5,20,3,18,10,5.4,0.0,Standard,182.26,2518817272114280,32 Years and 2 Months,Yes,4522591113491490,__10000__,High_spent_Large_value_payments,3616590000000000,Standard
January,24,Manager,42147.89,32833241666666600,5,4,2,2,4,9,02.02,2.0,Good,333.7,4014789354261180,NA,No,4447737209942360,17896942641877200,High_spent_Small_value_payments,36488600000000000,Good
February,24_,Manager,42147.89,,5,4,2,2,4,11,03.02,2.0,Good,333.7,3772004535429390,22 Years and 10 Months,No,4447737209942360,15516319997970100,High_spent_Small_value_payments,38869200000000000,Good
March,24,Manager,42147.89_,32833241666666600,5,4,2,2,4,9,02.02,2.0,Good,333.7,2521720128856140,22 Years and 11 Months,NM,4447737209942360,12937318201564100,High_spent_Medium_value_payments,40448200000000000,Good
April,24,Manager,42147.89,32833241666666600,5,4,2,2,3,12,02.02,2.0,Good,333.7,28630143159788100,23 Years and 0 Months,No,4447737209942360,11143044055094500,High_spent_Medium_value_payments,42242500000000000,Good
May,24,Manager,42147.89,32833241666666600,5,4,2,2,3,9,_,2.0,Good,333.7,3629598374584210,23 Years and 1 Months,No,4447737209942360,11579884749566000,High_spent_Medium_value_payments,41805600000000000,Good
June,24,Manager,42147.89,32833241666666600,5,4,2,2,8,9,02.02,7.0,Good,333.7,2892540711888400,NA,No,4447737209942360,5966597489685120,High_spent_Medium_value_payments,4741890000000000,Standard
July,24,Manager,42147.89,,5,4,2,-100,4,,02.02,7.0,Good,333.7,4037741187801850,23 Years and 3 Months,No,4447737209942360,__10000__,High_spent_Large_value_payments,48010000000000000,Good
August,24,Manager,42147.89,32833241666666600,5,4,2,2,9,9,02.02,7.0,Good,333.7,3453587667335100,23 Years and 4 Months,No,4447737209942360,21903727039910700,Low_spent_Medium_value_payments,344817774168136,Good
January,37,Entrepreneur,54842.58,4734215,8,9,29,7,29,17,25.94,11.0,Bad,3475.69,4143855503250370,2 Years and 5 Months,Yes,18965767166385000,10408696017816100,High_spent_Large_value_payments,4196770000000000,Poor
February,37,Entrepreneur,54842.58,4734215,8,249,29,7,29,17,25.94,11.0,_,3475.69,26068462997111000,2 Years and 6 Months,Yes,18965767166385000,13334968589882900,Low_spent_Medium_value_payments,4304140000000000,Poor
March,37,Entrepreneur,54842.58,4734215,8,9,29,7_,29,15_,21.94,11.0,Bad,3475.69,28299085549746900,2 Years and 7 Months,Yes,18965767166385000,10515942544262700,High_spent_Medium_value_payments,4286040000000000,Poor
April,37,nan,54842.58_,,8,9,29,-100,29,20,25.94,11.0,Bad,3475.69,30286773654248500,2 Years and 8 Months,Yes,18965767166385000,8349712411170890,High_spent_Large_value_payments,4402670000000000,Standard
May,37,Entrepreneur,54842.58,4734215,8,9,29,7,29,18,25.94,11.0,Bad,3475.69,3760690637213200,2 Years and 9 Months,Yes,18965767166385000,8224862435432420,High_spent_Medium_value_payments,45151500000000000,Poor
June,375,nan,54842.58,4734215,8,9,29,7_,29,17,29.94,11.0,_,3475.69,3422060201044110,2 Years and 10 Months,NM,18965767166385000,37138192219018600,Low_spent_Small_value_payments,20238200000000000,Poor
July,37,Entrepreneur,54842.58,4734215,8,9,29,7,29,17,25.94,11.0,_,3475.69,30328357191252800,2 Years and 11 Months,Yes,18965767166385000,3165275156884000,High_spent_Small_value_payments,22723600000000000,Poor
August,37,Entrepreneur,54842.58,4734215,8,9,29,7,29,15,25.94,11.0,Bad,3475.69,2933135408458070,3 Years and 0 Months,Yes,18965767166385000,2114307689794370,Low_spent_Small_value_payments,3623330000000000,Standard
January,26,Musician,22870.49_,1685874166666660,4,4,13,1,28,14,17.92,7.0,Standard,1085.08,38115371973098400,31 Years and 8 Months,Yes,12182154032725500,1906424865218660,High_spent_Large_value_payments,37734100000000000,Standard
February,27,Musician,22870.49,1685874166666660,4,4,13,1,28,17,17.92,654.0,_,1085.08,3923906703498750,31 Years and 9 Months,Yes,12182154032725500,20475059509287700,Low_spent_Small_value_payments,2416550000000000,Standard
March,27,Musician,22870.49,1685874166666660,4,4,13,1,28,11,17.92,7.0,Standard,1085.08,252818424876162,31 Years and 10 Months,Yes,12182154032725500,10294552674857300,Low_spent_Large_value_payments,32346000000000000,Standard
April,27_,Musician,22870.49,1685874166666660,371,4,13,1,28,14,17.92,7.0,Standard,1085.08,3560082951745960,31 Years and 11 Months,NM,12182154032725500,7083093491500010,Low_spent_Medium_value_payments,36557400000000000,Standard
May,27,Musician,22870.49,,4,4,13,1,28,14,22.92,7.0,_,1085.08,3828694951045640,32 Years and 0 Months,Yes,12182154032725500,6803327413230920,Low_spent_Large_value_payments,3583720000000000,Standard
June,27,Musician,22870.49,1685874166666660,4,4,13,1,29,14,15.920.000.000.000.000,7.0,Standard,1085.08,37189014283744500,32 Years and 1 Months,Yes,55956.0,32565031834789500,High_spent_Large_value_payments,3638400000000000,Standard
July,27,Musician,22870.49,1685874166666660,4,4,13,1,28,11,17.92,7.0,Standard,1085.08,22350063411947600,32 Years and 2 Months,Yes,12182154032725500,5879620799805200,Low_spent_Small_value_payments,3876090000000000,Poor
August,5195,Musician,22870.49,,4,4,13,1,28,,17.92,10.0,Standard,1085.08,25517666284085800,32 Years and 3 Months,Yes,12182154032725500,86454449580015,Low_spent_Large_value_payments,33995100000000000,Poor
January,44,Accountant,52616.28,4279.69,7,10,27,4,54,20,12.52,8.0,Bad,2592.58,2780785781473880,19 Years and 4 Months,Yes,1160039892222310,13865413328645800,High_spent_Small_value_payments,4333110000000000,Poor
February,45,Accountant,52616.28,4279.69,7,10,27,4,56,19,12.52,10.0,Bad,2592.58,38959968696157000,19 Years and 5 Months,Yes,1160039892222310,879340113743133,High_spent_Large_value_payments,46403100000000000,Poor
March,45,Accountant,52616.28,4279.69,7,10,27,4,49,19,12.52,10.0,Bad,2592.58,24930438573822100,NA,Yes,1160039892222310,23217755822589400,High_spent_Small_value_payments,33978700000000000,Poor
April,45,Accountant,52616.28,4279.69,7,10,27,4,54,19,12.52,10.0,Bad,2592.58,344800743717042,19 Years and 7 Months,Yes,1160039892222310,990456313751193,High_spent_Medium_value_payments,4629190000000000,Standard
May,45,Accountant,52616.28_,4279.69,7,10,27,-100,54,18,12.52,10.0,Bad,2592.58,3645943215786220,19 Years and 8 Months,Yes,1160039892222310,13357660236065200,High_spent_Small_value_payments,4383880000000000,Standard
June,45,Accountant,52616.28,4279.69,7,10,27,4,54,19,12.52,10.0,Bad,2592.58,35507821346769800,19 Years and 9 Months,Yes,1160039892222310,21412246665506500,High_spent_Small_value_payments,3578430000000000,Poor
July,45,Accountant,52616.28,4279.69,7,10,27,4,54,22,12.52,10.0,Bad,2592.58,36448977771034900,19 Years and 10 Months,Yes,1160039892222310,1591005682408990,Low_spent_Medium_value_payments,4328640000000000,Poor
August,45,Accountant,52616.28_,4279.69,7,10,27,4,54,19,10.52,10.0,_,2592.58,31790485381865000,19 Years and 11 Months,Yes,27454.0,48760373028630900,Low_spent_Small_value_payments,11436100000000000,Poor
January,21,Lawyer,37116.66,29550550000000000,3,7,32,5,21,19,12.54,8.0,Standard,1353.06,33566453591370300,5 Years and 7 Months,Yes,15636.0,28110067837950600,Low_spent_Medium_value_payments,17116400000000000,Poor
February,21,Lawyer,37116.66,29550550000000000,3,7,32,5_,21,19,12.54,8.0,Standard,1353.06_,2455643637163180,5 Years and 8 Months,Yes,12324105146801200,16560444368278200,Low_spent_Large_value_payments,2766600000000000,Poor
March,22,Lawyer,37116.66,29550550000000000,3,7,32,5,21,21,12.54,8.0,Standard,1353.06,26974242565919000,5 Years and 9 Months,Yes,12324105146801200,20582370581935900,Low_spent_Small_value_payments,25644100000000000,Poor
April,22,Lawyer,37116.66,29550550000000000,3,7,32,5,21,20,12.54,10.0,_,1353.06,3759815782301240,5 Years and 10 Months,Yes,12324105146801200,21838392474941000,High_spent_Large_value_payments,390426056057046,Standard
May,22,Lawyer,37116.66,29550550000000000,3,7,32,5,21,,_,10.0,Standard,1353.06,31043303129829000,5 Years and 11 Months,Yes,12324105146801200,2915244465715040,High_spent_Large_value_payments,38311200000000000,Standard
June,1969,Lawyer,37116.66,29550550000000000,3,7,32,5,21,18,8.54,10.0,Standard,1353.06,3180645093022260,6 Years and 0 Months,Yes,12324105146801200,57020400705529800,High_spent_Small_value_payments,37524400000000000,Standard
July,22,Lawyer,37116.66,29550550000000000,3,7,32,-100,21,19,12.54,10.0,Standard,1353.06,35800142423752800,6 Years and 1 Months,Yes,12324105146801200,,Low_spent_Small_value_payments,7831390000000000,Standard
August,22_,Lawyer,37116.66,29550550000000000,3,7,32,5,21,22,12.54,10.0,Standard,1353.06,2903165625502150,6 Years and 2 Months,Yes,12324105146801200,1603159952929200,High_spent_Small_value_payments,27194800000000000,Standard
January,45_,Writer,140276.8,11738733333333300,5,3,5,4,10,19,52.200.000.000.000.000,2.0,Standard,817.22,36406935302278000,NA,NM,38323845054781200,__10000__,Low_spent_Medium_value_payments,,Standard
February,45,Writer,140276.8,11738733333333300,5,3,5,4,10,18,8.22,2.0,Standard,817.22,41303881638202900,32 Years and 11 Months,Yes,38323845054781200,12209565854071200,High_spent_Large_value_payments,9085390000000000,Standard
March,46,Writer,140276.8,11738733333333300,5,3,5,4,10,19,8.22,2.0,Standard,817.22,30884916490572700,33 Years and 0 Months,Yes,38323845054781200,2887464099906200,High_spent_Large_value_payments,7418880000000000,Standard
April,46,Writer,140276.8,11738733333333300,5,3,5,4,10,18,8.22,2.0,Standard,817.22,4234790944987,33 Years and 1 Months,Yes,38323845054781200,21328964135826700,High_spent_Medium_value_payments,8273450000000000,Standard
May,46,Writer,140276.8,,5,193,5,4,7,17,8.22,2.0,Standard,817.22,4087264003490860,33 Years and 2 Months,Yes,38323845054781200,__10000__,High_spent_Large_value_payments,883923980628633,Standard
June,46,Writer,140276.8,11738733333333300,5,3,5,4,10,19,8.22,2.0,_,817.22,29679920694101400,33 Years and 3 Months,Yes,38323845054781200,930358621359926,Low_spent_Medium_value_payments,14027600000000000,Standard
July,46,Writer,140276.8,11738733333333300,5,3,5,4,10,18,8.22,2.0,Standard,817.22,3746106020835000,33 Years and 4 Months,Yes,38323845054781200,5951875795529650,Low_spent_Small_value_payments,48544700000000000,Standard
August,46,Writer,140276.8,11738733333333300,5,3,5,4,10,19,8.22,2.0,_,817.22,3509925268858350,33 Years and 5 Months,Yes,38323845054781200,5943442406188320,Low_spent_Medium_value_payments,4762910000000000,Standard
January,14,Mechanic,46175.49,40989575,6,6,18,4,38,,8.11,6.0,_,2488.96,4072465477130180,11 Years and 1 Months,Yes,10532410165618900,3073878826145910,High_spent_Large_value_payments,513832860082352,Poor
February,14,Mechanic,46175.49,40989575,6,6,18,4,41,2311,8.11,6.0,Bad,2488.96,3435542811712340,11 Years and 2 Months,Yes,10532410165618900,2677478524252430,!@9#%8,31682400000000000,Poor
March,14,Mechanic,46175.49,40989575,6,6,18,4,38,25,8.11,7.0,Bad,2488.96,29989049716544300,11 Years and 3 Months,Yes,10532410165618900,4530992220876250,Low_spent_Small_value_payments,14147200000000000,Poor
April,14,Mechanic,46175.49,40989575,6,6,18,4,42,25,8.11,7.0,Bad,2488.96,21911736912187600,11 Years and 4 Months,Yes,10532410165618900,4330898652335020,Low_spent_Small_value_payments,16148200000000000,Poor
May,14,Mechanic,46175.49,40989575,6,6,18,4,36,25,8.11,7.0,_,2488.96,3944135678628030,11 Years and 5 Months,Yes,10532410165618900,300177808948638,!@9#%8,274393839395173,Poor
June,15,Mechanic,46175.49,40989575,6,6,18,4,38,28,8.11,7.0,_,2488.96,26150606954752200,11 Years and 6 Months,Yes,10532410165618900,1370903517002390,High_spent_Medium_value_payments,4174810000000000,Poor
July,15,Mechanic,46175.49,,6,6,18,4,38,25,8.11,7.0,Bad,2488.96,27449408972836300,11 Years and 7 Months,Yes,10532410165618900,4668464142170220,Low_spent_Small_value_payments,12772500000000000,Poor
August,15,Mechanic,46175.49_,40989575,6,6,18,4_,38,22,8.11,7.0,Bad,2488.96,39190910785077800,11 Years and 8 Months,Yes,10532410165618900,35138887411151900,Low_spent_Small_value_payments,24318300000000000,Poor
January,493,Entrepreneur,69024.2,5492016666666660,9,7,27,7,37,25,2.75,11.0,Bad,4612.41,3609181070402440,4 Years and 3 Months,Yes,3114266147224460,,Low_spent_Medium_value_payments,18848600000000000,Poor
February,23,Entrepreneur,69024.2,5492016666666660,9,7,27,7,42,25,2.75,11.0,Bad,4612.41,28378259647405200,4 Years and 4 Months,Yes,3114266147224460,3616410720012490,Low_spent_Large_value_payments,14613400000000000,Poor
March,23,Entrepreneur,69024.2,5492016666666660,9,7,27,7,42,25,2.75,11.0,Bad,4612.41,38091421892768800,4 Years and 5 Months,NM,3114266147224460,15097197112930400,High_spent_Medium_value_payments,33680300000000000,Poor
April,23,Entrepreneur,69024.2,,9,7,27,7,42,25,3.75,11.0,Bad,4612.41,3791421288681930,4 Years and 6 Months,NM,3114266147224460,7969569628843750,!@9#%8,40807900000000000,Poor
May,23,Entrepreneur,69024.2,5492016666666660,9,7,27,7,42,25,7.75,11.0,Bad,4612.41,3566282268971600,4 Years and 7 Months,Yes,3114266147224460,23112925924894200,High_spent_Medium_value_payments,25664600000000000,Poor
June,23,Entrepreneur,69024.2,5492016666666660,9,7,27,7,38,23,2.75,11.0,Bad,4612.41,3465499140017070,4 Years and 8 Months,Yes,3114266147224460,3198008685998790,High_spent_Small_value_payments,17797400000000000,Poor
July,23,Entrepreneur,69024.2,5492016666666660,9,7,27,7,45,25,2.75,11.0,Bad,4612.41,39714378240071600,4 Years and 9 Months,Yes,3114266147224460,,Low_spent_Large_value_payments,34431300000000000,Poor
August,24_,Entrepreneur,69024.2,5492016666666660,9,7,27,7,42,25,_,11.0,Bad,4612.41,27989875334603500,4 Years and 10 Months,Yes,3114266147224460,4510217493249830,!@9#%8,6675330000000000,Poor
January,24,nan,14402.52,1347.21,6,6,28,8,60,16,19.86,12.0,Bad,4789.5,34081112302701900,7 Years and 3 Months,Yes,7334767036137500,1748165690512160,Low_spent_Small_value_payments,1765570000000000,Standard
February,25,Musician,14402.52_,1347.21,6,6,28,8,55,16,13.86,13.0,Bad,4789.5,3180826428581000,7 Years and 4 Months,Yes,7334767036137500,981600793430106,Low_spent_Small_value_payments,2532130000000000,Standard
March,25_,Musician,14402.52,1347.21,445,6,28,8,55,17,19.86,13.0,Bad,4789.5,36448630091783600,7 Years and 5 Months,NM,7334767036137500,482848438622464,High_spent_Small_value_payments,2730880000000000,Standard
April,25,Musician,14402.52,1347.21,1168,6,28,8,55,16,19.86,13.0,Bad,4789.5,2882350632968040,7 Years and 6 Months,NM,7334767036137500,3939482573712380,High_spent_Medium_value_payments,2719790000000000,Standard
May,25,Musician,14402.52,1347.21,6,6,28,8,55,16,19.86,13.0,_,4789.5,24820594174275800,7 Years and 7 Months,Yes,7334767036137500,4494958021854320,Low_spent_Large_value_payments,28642400000000000,Standard
June,25,Musician,14402.52,1347.21,6,6,28,8,60,16_,16.86,13.0,_,4789.5,2577400543168410,7 Years and 8 Months,Yes,7334767036137500,686462848458433,Low_spent_Medium_value_payments,27272700000000000,Standard
July,25,Musician,14402.52,1347.21,6,6,28,8,52,13,26.86,13.0,Bad,4789.5,36739767136816400,7 Years and 9 Months,Yes,7334767036137500,10956484840782000,Low_spent_Small_value_payments,24180800000000000,Poor
August,25,Musician,14402.52,1347.21,6,6,28,8,56,13,19.86,13.0,Bad,4789.5,3310422914167960,7 Years and 10 Months,Yes,7334767036137500,17145331118432100,Low_spent_Small_value_payments,17992000000000000,Poor
January,27,Entrepreneur,19832761.0,18008008333333300,9,5,25,7,25,20,19.67,11.0,_,3838.0,25987369854566300,13 Years and 4 Months,Yes,63368662643549100,15953354953294100,High_spent_Large_value_payments,34075800000000000,Poor
February,27,Entrepreneur,19653.61,18008008333333300,9,5,25,7_,24,20,19.67,11.0,Bad,3838.0,3690618641743,13 Years and 5 Months,Yes,63368662643549100,18811825735260900,Low_spent_Small_value_payments,2185930000000000,Poor
March,27,Entrepreneur,19653.61,18008008333333300,9,5,25,7,25,20,19.67,11.0,Bad,3838.0,29867231773037300,13 Years and 6 Months,Yes,63368662643549100,1482229052443860,Low_spent_Large_value_payments,23848900000000000,Poor
April,27,Entrepreneur,19653.61,18008008333333300,9,5,25,7,25,18,19.67,11.0,Bad,3838.0,33720873618591500,13 Years and 7 Months,Yes,63368662643549100,4649909089849700,Low_spent_Large_value_payments,3402120000000000,Poor
May,27,Entrepreneur,19653.61,18008008333333300,9,5,25,7,25,18,19.67,2334.0,Bad,3838.0,3498450057593260,13 Years and 8 Months,Yes,63368662643549100,52982353886138400,Low_spent_Large_value_payments,3337290000000000,Poor
June,27,Entrepreneur,19653.61,18008008333333300,9,5,25,7,25,20,25.67,11.0,Bad,3838.0,3340433876638210,13 Years and 9 Months,Yes,63368662643549100,4964856126317360,High_spent_Small_value_payments,3270630000000000,Poor
July,27,Entrepreneur,19653.61,18008008333333300,9,5,25,7,25,20,19.67,11.0,Bad,3838.0,3019576895854010,13 Years and 10 Months,Yes,63368662643549100,24083408454359400,Low_spent_Small_value_payments,16587700000000000,Poor
August,28,Entrepreneur,19653.61,18008008333333300,9,5,25,7_,28,20,19.67,11.0,Bad,3838.0,3318220990431150,13 Years and 11 Months,Yes,63368662643549100,22594322254180400,High_spent_Large_value_payments,3341170000000000,Poor
January,41,Journalist,39540.78,,7,6,25,7,47,17,20.32,12.0,Bad,3506.0,2894125858900870,10 Years and 3 Months,Yes,2275308648819420,16132537864027600,Low_spent_Medium_value_payments,23215000000000000,Standard
February,41,Journalist,39540.78,3410065,8,7,25,7,47,15_,26.32,12.0,Bad,3506.0,3897888811135990,NA,Yes,2275308648819420,11193916087300300,High_spent_Medium_value_payments,2515360000000000,Standard
March,41,Journalist,39540.78,3410065,8,7,25,7,47,15,26.32,13.0,Bad,3506.0,31004039251750900,10 Years and 5 Months,Yes,22525.0,28250687024075400,High_spent_Large_value_payments,32522500000000000,Standard
April,41,Journalist,39540.78,3410065,8,7,25,7,47,14,_,13.0,Bad,3506.0,38387942737020200,10 Years and 6 Months,Yes,2275308648819420,,Low_spent_Large_value_payments,2621970000000000,Standard
May,41,Journalist,39540.78,3410065,868,7,25,7,47,14,26.32,13.0,Bad,3506.0,3094835955646610,10 Years and 7 Months,Yes,2275308648819420,1939708641241630,Low_spent_Medium_value_payments,19950500000000000,Standard
June,42,Journalist,39540.78,3410065,8,7,25,7,47,15,26.32,13.0,Bad,3506.0,34948953430956000,10 Years and 8 Months,Yes,2275308648819420,1302851542242410,High_spent_Medium_value_payments,233190480893816,Standard
July,42,Journalist,39540.78,3410065,8,7,25,7,47,18,26.32,13.0,Bad,3506.0,3057984900250680,10 Years and 9 Months,Yes,2275308648819420,42800428295836200,High_spent_Medium_value_payments,3206750000000000,Standard
August,42,Journalist,39540.78,3410065,8,7,25,7,47,15,26.32,,Bad,3506.0,36831484280783600,10 Years and 10 Months,Yes,2275308648819420,__10000__,High_spent_Small_value_payments,30331300000000000,Standard
January,31,Journalist,142737.36_,11656.78,1,2,4,3,14,9,46.400.000.000.000.000,2.0,_,1184.81,376523228058306,24 Years and 3 Months,No,27360235752614900,5071507076732340,Low_spent_Medium_value_payments,6649250000000000,Standard
February,31_,Journalist,142737.36,,1,2,4,3,11,6,_,2.0,Good,1184.81,3212854578874150,24 Years and 4 Months,No,27360235752614900,6996983578558020,High_spent_Small_value_payments,45237700000000000,Good
March,31,Journalist,142737.36,11656.78,1,2,4,3,9,6,9.64,2.0,Good,1184.81,34079967767229000,24 Years and 5 Months,No,49795.0,41088324923554900,High_spent_Medium_value_payments,7311920000000000,Good
April,31,nan,142737.36,11656.78,1,2,4,3,11,6,13.64,2.0,_,1184.81,3080882005389040,24 Years and 6 Months,NM,27360235752614900,12873364376535900,High_spent_Large_value_payments,10033400000000000,Good
May,31,Journalist,142737.36,11656.78,1,2,4,3,6,6,9.64,2.0,Good,1184.81,4537454035056620,NA,No,37137.0,1595319850580080,High_spent_Large_value_payments,9725440000000000,Good
June,31,Journalist,142737.36,11656.78,1,2,4,3,10,8,3.640.000.000.000.000,4.0,Good,1184.81,29104804128672900,24 Years and 8 Months,No,27360235752614900,__10000__,Low_spent_Medium_value_payments,4712520000000000,Good
July,32,Journalist,142737.36_,11656.78,1,2,4,3,11,8,9.64,4.0,Good,1184.81,23673732123273900,24 Years and 9 Months,No,27360235752614900,10128780672986600,Low_spent_Medium_value_payments,15919800000000000,Good
August,32,Journalist,142737.36,11656.78,1,2,4,3,6,6,2.640.000.000.000.000,4.0,Good,1184.81_,4091922296383720,24 Years and 10 Months,No,27360235752614900,5195848260928270,Low_spent_Large_value_payments,6424910000000000,Good
January,28,Writer,15827.06,,9,9,29,6,20,19,_,12.0,Bad,2396.06,23959774987916400,10 Years and 1 Months,Yes,5771999295945360,1009897549732110,Low_spent_Small_value_payments,27358200000000000,Standard
February,28,Writer,15827.06,,9,9,29,6,20,18,5.41,12.0,Bad,2396.06,37802360774315200,10 Years and 2 Months,Yes,5771999295945360,12372472793758400,Low_spent_Medium_value_payments,24084700000000000,Poor
March,29,Writer,15827.06,14229216666666600,9,9,29,6,20,20,5.41,272.0,Bad,2396.06,3502011859139750,NA,Yes,5771999295945360,5669455443936490,Low_spent_Small_value_payments,3178780000000000,Poor
